name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
Adrift Kaya,"78, Janpath Rd, Atul Grove Road, Janpath, Connaught Place, New Delhi, Delhi 110001",stores.lbf.co.in,093100 20740,,4.5,restaurant,,delhi,delhi,"78, Janpath Rd"
Daryaganj Restaurant,"78, Janpath Rd, Atul Grove Road, Janpath, Connaught Place, New Delhi, Delhi 110001",stores.lbf.co.in,093100 20740,,4.5,restaurant,,delhi,delhi,"78, Janpath Rd"
The Host,"78, Janpath Rd, Atul Grove Road, Janpath, Connaught Place, New Delhi, Delhi 110001",stores.lbf.co.in,093100 20740,,4.5,restaurant,,delhi,delhi,"78, Janpath Rd"
Rajasthali,"78, Janpath Rd, Atul Grove Road, Janpath, Connaught Place, New Delhi, Delhi 110001",stores.lbf.co.in,093100 20740,,4.5,restaurant,,delhi,delhi,"78, Janpath Rd"
Republic of Noodles By Lemon Tree,"F- 8, Inner Circle, Near Rajeev Chowk Gate No. 5, Connaught Place, F-8, Block F, Connaught Place, New Delhi, Delhi 110001",,098995 77653,,3.9,restaurant,,delhi,delhi,"F- 8, Inner Circle"
Tastylicious- Delhi,"F- 8, Inner Circle, Near Rajeev Chowk Gate No. 5, Connaught Place, F-8, Block F, Connaught Place, New Delhi, Delhi 110001",,098995 77653,,3.9,restaurant,,delhi,delhi,"F- 8, Inner Circle"
Te Amo Restaurant & Bar,"F- 8, Inner Circle, Near Rajeev Chowk Gate No. 5, Connaught Place, F-8, Block F, Connaught Place, New Delhi, Delhi 110001",,098995 77653,,3.9,restaurant,,delhi,delhi,"F- 8, Inner Circle"
Delhi38,"F- 8, Inner Circle, Near Rajeev Chowk Gate No. 5, Connaught Place, F-8, Block F, Connaught Place, New Delhi, Delhi 110001",,098995 77653,,3.9,restaurant,,delhi,delhi,"F- 8, Inner Circle"
Mughal Mahal Restaurant,"F- 8, Inner Circle, Near Rajeev Chowk Gate No. 5, Connaught Place, F-8, Block F, Connaught Place, New Delhi, Delhi 110001",,098995 77653,,3.9,restaurant,,delhi,delhi,"F- 8, Inner Circle"
Diablo,"F- 8, Inner Circle, Near Rajeev Chowk Gate No. 5, Connaught Place, F-8, Block F, Connaught Place, New Delhi, Delhi 110001",,098995 77653,,3.9,restaurant,,delhi,delhi,"F- 8, Inner Circle"
JAMUN,"F- 8, Inner Circle, Near Rajeev Chowk Gate No. 5, Connaught Place, F-8, Block F, Connaught Place, New Delhi, Delhi 110001",,098995 77653,,3.9,restaurant,,delhi,delhi,"F- 8, Inner Circle"
Shang Palace,"H-05, Diablo Qutab Garden, 12, Kalka Das Marg, Seth Sarai, Mehrauli, New Delhi, Delhi 110030",diabloindia.com,093193 01333,,4.0,restaurant,,delhi,delhi,"H-05, Diablo Qutab Garden"
Diggin,"H-05, Diablo Qutab Garden, 12, Kalka Das Marg, Seth Sarai, Mehrauli, New Delhi, Delhi 110030",diabloindia.com,093193 01333,,4.0,restaurant,,delhi,delhi,"H-05, Diablo Qutab Garden"
Tadka4986,"H-05, Diablo Qutab Garden, 12, Kalka Das Marg, Seth Sarai, Mehrauli, New Delhi, Delhi 110030",diabloindia.com,093193 01333,,4.0,restaurant,,delhi,delhi,"H-05, Diablo Qutab Garden"
Flavours Of Punjab Restaurant,"H-05, Diablo Qutab Garden, 12, Kalka Das Marg, Seth Sarai, Mehrauli, New Delhi, Delhi 110030",diabloindia.com,093193 01333,,4.0,restaurant,,delhi,delhi,"H-05, Diablo Qutab Garden"
Best Of Delhi Restaurant,"H-05, Diablo Qutab Garden, 12, Kalka Das Marg, Seth Sarai, Mehrauli, New Delhi, Delhi 110030",diabloindia.com,093193 01333,,4.0,restaurant,,delhi,delhi,"H-05, Diablo Qutab Garden"
The Eatery,"H-05, Diablo Qutab Garden, 12, Kalka Das Marg, Seth Sarai, Mehrauli, New Delhi, Delhi 110030",diabloindia.com,093193 01333,,4.0,restaurant,,delhi,delhi,"H-05, Diablo Qutab Garden"
Aangan Reloaded - Hyatt Regency Delhi,"H-05, Diablo Qutab Garden, 12, Kalka Das Marg, Seth Sarai, Mehrauli, New Delhi, Delhi 110030",diabloindia.com,093193 01333,,4.0,restaurant,,delhi,delhi,"H-05, Diablo Qutab Garden"
Dawat restaurant,"H-05, Diablo Qutab Garden, 12, Kalka Das Marg, Seth Sarai, Mehrauli, New Delhi, Delhi 110030",diabloindia.com,093193 01333,,4.0,restaurant,,delhi,delhi,"H-05, Diablo Qutab Garden"
Delhi Restaurant,"H-05, Diablo Qutab Garden, 12, Kalka Das Marg, Seth Sarai, Mehrauli, New Delhi, Delhi 110030",diabloindia.com,093193 01333,,4.0,restaurant,,delhi,delhi,"H-05, Diablo Qutab Garden"
The Delhi Bistro,"781 TO 784, Block 11, Lodi Colony, New Delhi, Delhi 110003",daawatrestaurant.org,099107 14514,,4.0,restaurant,,delhi,delhi,"781 TO 784, Block 11"
